City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
502,tralee,52.2704,-9.7026,1.14,93,20,4.63,IE,1704694615
503,alesund,62.4723,6.1549,3.08,81,75,5.14,NO,1704694459
504,kailua-kona,19.6406,-155.9956,24.98,84,0,3.6,US,1704694328
505,ontario,34.0633,-117.6509,9.12,47,0,3.09,US,1704694618
506,port saint john's,-31.6229,29.5448,20.96,89,100,1.21,ZA,1704694619
507,grand-bourg,15.8835,-61.3148,22.97,68,7,8.44,GP,1704694619
508,urengoy,65.9667,78.3667,-20.82,94,100,4.69,RU,1704694620
509,igarka,67.4667,86.5833,-26.1,96,99,5.5,RU,1704694621
510,faya-largeau,17.9257,19.1043,17.02,15,11,5.67,TD,1704694622
511,yeppoon,-23.1333,150.7333,29.88,72,100,4.92,AU,1704694623
512,przasnysz,53.0191,20.8803,-12.01,83,100,6.0,PL,1704694624
513,maragogi,-9.0122,-35.2225,24.2,88,5,2.86,BR,1704694624
514,egilsstadir,65.2653,-14.3948,4.65,92,99,6.41,IS,1704694625
515,laojunmiao,39.8333,97.7333,0.63,21,55,4.73,CN,1704694626
516,rawatbhata,24.9333,75.5833,19.87,60,76,2.11,IN,1704694626
517,markivka,49.5229,39.5705,-10.94,76,100,7.24,UA,1704694627
518,nandigama,16.7833,80.3,27.8,40,14,4.76,IN,1704694628
519,labytnangi,66.6572,66.4183,-23.88,97,68,1.31,RU,1704694629
520,kasongo-lunda,-6.4667,16.8167,21.56,88,100,0.66,CD,1704694629
521,lichuan,30.3,108.85,9.75,68,52,1.15,CN,1704694630
522,nouadhibou,20.931,-17.0347,16.99,63,7,3.6,MR,1704694631
523,mildura,-34.2,142.15,26.71,61,93,6.41,AU,1704694596
524,manado,1.487,124.8455,33.43,62,40,4.12,ID,1704694633
525,socorro,31.6546,-106.3033,3.92,62,75,11.83,US,1704694389
526,coahuayana de hidalgo,18.7,-103.6583,21.21,91,85,1.52,MX,1704694634
527,lincoln,40.8,-96.667,1.21,84,100,6.26,US,1704694635
528,corbie,49.9067,2.5068,-1.51,69,100,10.8,FR,1704694636
529,talara,-4.5772,-81.2719,23.84,79,100,5.62,PE,1704694636
530,kosti,13.1629,32.6635,23.87,26,12,3.26,SD,1704694637
531,banjarmasin,-3.3244,114.591,28.08,65,100,1.7,ID,1704694638
532,smithers,54.7804,-127.1743,-6.82,100,100,1.54,CA,1704694638
533,konakovo,56.7,36.7667,-20.49,86,36,2.4,RU,1704694639
534,sao vicente,-23.9631,-46.3919,28.1,26,7,0.77,BR,1704694640
535,fisterra,42.9049,-9.2629,2.08,62,100,2.13,ES,1704694640
536,inhambane,-23.865,35.3833,27.8,62,18,1.18,MZ,1704694641
537,bondo,3.8146,23.6866,21.43,37,45,1.69,CD,1704694642
538,sandnessjoen,66.0217,12.6316,3.06,81,75,2.57,NO,1704694643
539,alaghsas,17.0187,8.0168,14.94,25,0,2.57,NE,1704694369
540,mulayjah,27.271,48.4242,13.54,33,0,2.75,SA,1704694644
541,peniche,39.3558,-9.3811,7.38,64,97,3.05,PT,1704694645
542,vadso,70.0744,29.7487,-4.51,79,40,7.72,NO,1704694645
543,abu jibeha,11.4562,31.2285,23.04,25,22,2.1,SD,1704694646
544,padang,-0.9492,100.3543,31.03,79,88,1.85,ID,1704694647
545,ta`u,-14.2336,-169.5144,28.67,73,71,1.51,AS,1704694649
546,kidal,18.4411,1.4078,21.01,15,99,3.7,ML,1704694649
547,santiago de cao,-7.9589,-79.2392,21.07,88,100,2.57,PE,1704694650
548,forest grove,45.5198,-123.1107,5.93,90,75,0.0,US,1704694651
549,primero de mayo,-32.2552,-58.4228,21.42,96,34,2.72,AR,1704694651
550,kirakira,-10.4544,161.9205,28.64,80,44,2.64,SB,1704694652
551,abu zabad,12.35,29.25,19.09,32,36,5.58,SD,1704694653
552,fort st. john,56.2499,-120.8529,-22.06,77,0,0.0,CA,1704694654
553,mexico,15.0646,120.7198,30.64,58,86,6.29,PH,1704694114
554,onguday,50.75,86.15,-4.26,75,96,2.33,RU,1704694655
555,sanawad,22.1833,76.0667,27.5,40,20,3.36,IN,1704694656
556,caister-on-sea,52.6481,1.7265,3.88,64,75,9.19,GB,1704694656
557,colonia,50.9333,6.95,-0.64,81,75,3.09,DE,1704694443
558,shizuoka,34.9769,138.3831,8.61,32,0,1.17,JP,1704694409
559,bonito,-21.1211,-56.4819,25.14,68,1,2.1,BR,1704694658
560,tudor vladimirescu,45.5667,27.65,-3.43,85,100,13.19,RO,1704694659
561,ourem,39.6417,-8.5919,4.7,85,91,1.39,PT,1704694660
562,burang,30.25,81.1667,-1.69,12,0,2.04,CN,1704694528
563,nikol'sk,53.7189,46.0712,-24.83,100,48,2.2,RU,1704694661
564,elko,41.0002,-115.5012,-10.43,79,67,1.34,US,1704694662
565,amarpatan,24.3167,80.9833,21.28,62,35,2.05,IN,1704694662
566,valley city,46.9233,-98.0032,-16.71,100,100,3.09,US,1704694663
567,stornoway,58.2093,-6.3865,4.98,81,75,4.12,GB,1704694664
568,khunti,23.0833,85.2833,18.06,43,6,2.36,IN,1704694664
569,xilin hot,43.9667,116.0333,-10.01,75,99,1.81,CN,1704694665
570,bella union,-30.2752,-57.6007,20.98,97,99,2.5,UY,1704694666
571,posse,-14.0931,-46.3694,20.04,94,100,2.55,BR,1704694666
572,cuatro cienegas de carranza,26.9833,-102.0833,11.57,75,1,1.46,MX,1704694667
